issue,verdict,category,brand,product,asin,amazon_url,other_buy_link,note
UNBUYABLE,good,Coffee,Fellow,Fellow coffee,B077JBQZPX,https://www.amazon.com/dp/B077JBQZPX,,replace or remove the link
UNBUYABLE,good,Cribs & nursery,Oeuf,Oeuf Sparrow Crib,B00M0SPI2U,https://www.amazon.com/dp/B00M0SPI2U,,replace or remove the link
UNBUYABLE,good,Cribs & nursery,Stokke,Stokke Tripp Trapp High Chair,B0D5KC6Q4R,https://www.amazon.com/dp/B0D5KC6Q4R,,replace or remove the link
UNBUYABLE,good,Food storage,Ball,Ball Wide Mouth Mason Jars (12 Pack),B071KTNCSC,https://www.amazon.com/dp/B071KTNCSC,,replace or remove the link
UNBUYABLE,good,Food storage,Klean Kanteen,Klean Kanteen Reflect (27oz),B09B2V6KDJ,https://www.amazon.com/dp/B09B2V6KDJ,,replace or remove the link
UNBUYABLE,good,Food storage,Linen Bread Bag,Linen Bread Bag,B076KT472Y,https://www.amazon.com/dp/B076KT472Y,,replace or remove the link
UNBUYABLE,good,Food storage,LunchBots,LunchBots Insulated Food Jar (12oz),B08KBMT6X5,https://www.amazon.com/dp/B08KBMT6X5,,replace or remove the link
UNBUYABLE,good,Skincare,Earth Harbor,Earth Harbor Sunshine Antioxidant Cleansing Mousse,B086W4D6CB,https://www.amazon.com/dp/B086W4D6CB,,replace or remove the link
UNBUYABLE,good,Supplements,Thorne,Thorne supplements,B0797FS9ZP,https://www.amazon.com/dp/B0797FS9ZP,,replace or remove the link
UNBUYABLE,good,Tableware,Avanchy,Avanchy Stainless Steel Baby Spoons,B07K1FFK6Z,https://www.amazon.com/dp/B07K1FFK6Z,,replace or remove the link
UNBUYABLE,good,Tableware,Avanchy,Avanchy Bamboo + Silicone Suction Plate,B0DBY6LNDN,https://www.amazon.com/dp/B0DBY6LNDN,,replace or remove the link
UNBUYABLE,good,Tableware,Sage Spoonfuls,Sage Spoonfuls Stainless Steel Steamer Basket,B00PK49HVO,https://www.amazon.com/dp/B00PK49HVO,,replace or remove the link
UNBUYABLE,good,Toys,CaaOcho,CaaOcho 100% Natural Rubber Bath Toy,B00KIZ9F44,https://www.amazon.com/dp/B00KIZ9F44,,replace or remove the link
UNBUYABLE,good,Toys,CaaOcho,CaaOcho Natural Rubber Toys,B01M2C0SB6,https://www.amazon.com/dp/B01M2C0SB6,,replace or remove the link
UNBUYABLE,good,Vacuums,Hydro Flask,Hydro Flask vacuums,B01GW2GNH8,https://www.amazon.com/dp/B01GW2GNH8,,replace or remove the link
UNBUYABLE,good,Vacuums,Klean Kanteen,Klean Kanteen vacuums,B09B2V6KDJ,https://www.amazon.com/dp/B09B2V6KDJ,,replace or remove the link
UNBUYABLE,good,Water filters,LifeStraw,Home Glass Pitcher,B09R6211QP,https://www.amazon.com/dp/B09R6211QP,,replace or remove the link
UNBUYABLE,unrated,Diapers,Seventh Generation,Diapers,B084H4H6HR,https://www.amazon.com/dp/B084H4H6HR,,replace or remove the link
UNBUYABLE,unrated,Supplements,Thorne,Thorne Vitamin D3 K2 Liquid,B0797FS9ZP,https://www.amazon.com/dp/B0797FS9ZP,,replace or remove the link
UNBUYABLE,careful,Coffee,Fellow,Fellow Stagg EKG Pour Over Kettle,B077JBQZPX,https://www.amazon.com/dp/B077JBQZPX,,replace or remove the link
LOW STOCK,good,Diapers,Coterie,Coterie Diapers,B0DKPJHFGS,https://www.amazon.com/dp/B0DKPJHFGS,,"watch, may go unbuyable"
LOW STOCK,good,Period pads,Natracare,Natracare Ultra Pads with Wings,B000VI3LNE,https://www.amazon.com/dp/B000VI3LNE,,"watch, may go unbuyable"
LOW STOCK,good,Period underwear,Saalt,Saalt menstrual products,B079DWG2ZV,https://www.amazon.com/dp/B079DWG2ZV,,"watch, may go unbuyable"
LOW STOCK,good,Skincare,Osea,Osea Eyes Wide Awake,B0BXQT82Y7,https://www.amazon.com/dp/B0BXQT82Y7,,"watch, may go unbuyable"
LOW STOCK,good,Tableware,Avanchy,Avanchy Mini Baby Stainless Cup,B08LKZCHTF,https://www.amazon.com/dp/B08LKZCHTF,,"watch, may go unbuyable"
NO ASIN,good,Clothing,Little Green Radicals,Sunsuits,,,,"recommended, nowhere to buy"
NO ASIN,good,Cookware,Cooks Standard,Cooks Standard Stainless Steel Cookware,,,,"recommended, nowhere to buy"
NO ASIN,good,Crib mattresses,Delta Children,CleanEarth Certified Organic Crib Mattress,,,,"recommended, nowhere to buy"
NO ASIN,good,Cribs & nursery,Burt's Bees Baby,Organic cotton clothing and crib sheets,,,,"recommended, nowhere to buy"
NO ASIN,good,Cribs & nursery,Burt's Bees Baby,"Organic cotton textiles: clothing, crib sheets, hooded towels",,,,"recommended, nowhere to buy"
NO ASIN,good,Deodorant,Primally Pure,Deodorant,,,,"recommended, nowhere to buy"
NO ASIN,good,Kitchen appliances,KitchenAid,Artisan stand mixer with stainless bowl,,,,"recommended, nowhere to buy"
NO ASIN,good,Kitchen appliances,Vitamix,Stainless steel container,,,,"recommended, nowhere to buy"
NO ASIN,good,Pantry,Heavenly Organics Raw,Heavenly Organics Raw Honey,,,,"recommended, nowhere to buy"
NO ASIN,good,Panty liners,Organyc,Organyc Organic Cotton Liners,,,,"recommended, nowhere to buy"
NO ASIN,good,Period pads,LIVLIT,LIVLIT Organic Cotton Pads,,,,"recommended, nowhere to buy"
NO ASIN,good,Sea salt,ko Living Herbal,Öko Living Herbal Mat,,,,"recommended, nowhere to buy"
NO ASIN,good,Supplements,Momentous,Creatine,,,,"recommended, nowhere to buy"
NO ASIN,good,Yoga mats,Yoloha Cork Mat,Yoloha Cork Mat,,,,"recommended, nowhere to buy"
NO ASIN,unrated,Baby bottles,MAM,Feel Good glass bottle,,,,"not recommended, link optional"
NO ASIN,unrated,Baby lotion,Earth Mama Organics,Baby Wash,,,,"not recommended, link optional"
NO ASIN,unrated,Baby lotion,Primally Pure,Baby Balm,,,,"not recommended, link optional"
NO ASIN,unrated,Clothing,LifeStraw,Go filter bottle,,,,"not recommended, link optional"
NO ASIN,unrated,Cookware,Yeti,Roadie hard cooler,,,,"not recommended, link optional"
NO ASIN,unrated,Makeup,ILIA,Limitless Lash Mascara,,,,"not recommended, link optional"
NO ASIN,unrated,Pantry,RTIC,Hard cooler,,,,"not recommended, link optional"
NO ASIN,unrated,Shampoo,Pipette,Baby shampoo and body wash,,,,"not recommended, link optional"
NO ASIN,unrated,Skincare,Primally Pure,Body Oil,,,,"not recommended, link optional"
NO ASIN,unrated,Skincare,The Honest Company,Honest Beauty Hazel Eye Gels,,,,"not recommended, link optional"
NO ASIN,unrated,Sunscreen,Primally Pure,Sun Cream SPF 30,,,,"not recommended, link optional"
NO ASIN,unrated,Tea,Leaf,Rishi Organic Loose Leaf Tea,,,,"not recommended, link optional"
NO ASIN,unrated,Toothpaste,Dr. Brown's,Baby toothpaste,,,,"not recommended, link optional"
NO ASIN,unrated,Toys,Quut,Beach toys,,,,"not recommended, link optional"
NO ASIN,unrated,Toys,Sunnylife,Cotton canvas umbrella,,,,"not recommended, link optional"
NO ASIN,unrated,Water filters,Aquasana,OptimH2O whole house,,,,"not recommended, link optional"
NO ASIN,unrated,Water filters,iSpring,RCC7AK six stage under sink RO,,,,"not recommended, link optional"
NO ASIN,unrated,Yoga mats,Manduka eKO,Manduka eKO 5mm,,,,"not recommended, link optional"
NO ASIN,careful,Air fryers,Ninja,Crispi glass air fryer,,,,"not recommended, link optional"
NO ASIN,careful,Baby bottles,Pura Kiki,Insulated models sold through 2018,,,,"not recommended, link optional"
NO ASIN,careful,Baby formula,Earth's Best,Organic Infant Formula,,,,"not recommended, link optional"
NO ASIN,careful,Baby formula,Revision Skincare,Nectifirm and Nectifirm Advanced,,,,"not recommended, link optional"
NO ASIN,careful,Baby lotion,Aveeno,Aveeno Baby lotions,,,,"not recommended, link optional"
NO ASIN,careful,Baby wipes,The Honest Company,Wipes,,,,"not recommended, link optional"
NO ASIN,careful,Cleaning products,ATTITUDE,Bathroom and all purpose cleaner,,,,"not recommended, link optional"
NO ASIN,careful,Cleaning products,Tide,Tide PurClean,,,,"not recommended, link optional"
NO ASIN,careful,Cookware,Ninja,NeverStick Ceramic Pro cookware,,,,"not recommended, link optional"
NO ASIN,careful,Deodorant,Dove,Men's 0% Aluminum deodorant,,,,"not recommended, link optional"
NO ASIN,careful,Diaper cream,Badger,Zinc diaper cream,,,,"not recommended, link optional"
NO ASIN,careful,Diapers,The Honest Company,Diapers,,,,"not recommended, link optional"
NO ASIN,careful,Electrolytes,LMNT,Recharge Electrolyte Drink Mix,,,,"not recommended, link optional"
NO ASIN,careful,Electrolytes,LMNT,Raw Unflavored,,,,"not recommended, link optional"
NO ASIN,careful,Electrolytes,Redmond,Re-Lyte Electrolyte Mix,,,,"not recommended, link optional"
NO ASIN,careful,Kitchen appliances,KitchenAid,Stock coated flat beater,,,,"not recommended, link optional"
NO ASIN,careful,Laundry detergent,All Free Clear,Free & Clear Detergent,,,,"not recommended, link optional"
NO ASIN,careful,Laundry detergent,Arm & Hammer,Clean Burst Laundry Detergent,,,,"not recommended, link optional"
NO ASIN,careful,Laundry detergent,ECOS,"Hypoallergenic Laundry Detergent Sheet, Magnolia & Lily",,,,"not recommended, link optional"
NO ASIN,careful,Laundry detergent,Force of Nature,Planet Friendly Laundry Detergent Sheets,,,,"not recommended, link optional"
NO ASIN,careful,Laundry detergent,Tide,Tide Original,,,,"not recommended, link optional"
NO ASIN,careful,Laundry detergent,Tide,Tide Free & Gentle,,,,"not recommended, link optional"
NO ASIN,careful,Pacifiers,MAM,Pacifiers,,,,"not recommended, link optional"
NO ASIN,careful,Pacifiers,MAM,Original Pacifier,,,,"not recommended, link optional"
NO ASIN,careful,Period pads,This is L.,L. Pure Cotton Ultra Thin Pads,,,,"not recommended, link optional"
NO ASIN,careful,Period underwear,Knix,Knix Period Underwear,,,,"not recommended, link optional"
NO ASIN,careful,Prenatal vitamins,MaryRuth's,Organic Prenatal & Postnatal gummy,,,,"not recommended, link optional"
NO ASIN,careful,Prenatal vitamins,Nordic Naturals,Prenatal Multivitamin,,,,"not recommended, link optional"
NO ASIN,careful,Prenatal vitamins,SmartyPants,Sugar Free Prenatal gummy,,,,"not recommended, link optional"
NO ASIN,careful,Sea salt,Redmond,Real Salt,,,,"not recommended, link optional"
NO ASIN,careful,Shower curtains,Madison Park,Polyester ranges,,,,"not recommended, link optional"
NO ASIN,careful,Sunscreen,Badger,Mineral Sunscreen SPF 30,,,,"not recommended, link optional"
NO ASIN,careful,Sunscreen,Revision Skincare,Intellishade TruPhysical,,,,"not recommended, link optional"
NO ASIN,careful,Tampons,LOLA,LOLA Organic Cotton Tampons,,,,"not recommended, link optional"
NO ASIN,careful,Tampons,The Honey Pot,The Honey Pot Organic Cotton Tampons,,,,"not recommended, link optional"
NO ASIN,careful,Toothbrushes,Philips,Sonicare electric toothbrushes,,,,"not recommended, link optional"
NO ASIN,careful,Toothbrushes,SeaTurtle,Plant based bamboo toothbrush,,,,"not recommended, link optional"
NO ASIN,careful,Toothpaste,Boka,Ela Mint,,,,"not recommended, link optional"
NO ASIN,careful,Toothpaste,Dr. Bronner's,Toothpaste,,,,"not recommended, link optional"
NO ASIN,careful,Toothpaste,Sensodyne,Whitening,,,,"not recommended, link optional"
NO ASIN,careful,Vacuums,Dyson,V15 Detect cordless vacuum,,,,"not recommended, link optional"
NO ASIN,careful,Vacuums,Dyson,"V8, V10 and V12 cordless vacuums",,,,"not recommended, link optional"
NO ASIN,careful,Water filters,AquaTru,Classic,,,,"not recommended, link optional"
NO ASIN,careful,Water filters,Aquasana,AQ-5200 / Claryum under sink,,,,"not recommended, link optional"
NO ASIN,careful,Water filters,Brita,Elite and Longlast+ filters,,,,"not recommended, link optional"
NO ASIN,careful,Water filters,LifeStraw,Filter bottles and straws,,,,"not recommended, link optional"
NO ASIN,careful,Water filters,Waterdrop,Gravity and pitcher filters,,,,"not recommended, link optional"
NO ASIN,skip,Air fryers,Cuisinart,Air fryer toaster ovens,,,,"not recommended, link optional"
NO ASIN,skip,Air fryers,Ninja,Standard basket air fryers,,,,"not recommended, link optional"
NO ASIN,skip,Baby bottles,Dr. Brown's,Wide Neck Glass Baby Bottle (painted markings),,,,"not recommended, link optional"
NO ASIN,skip,Baby bottles,First Years,Take & Toss Sippy Cups,,,,"not recommended, link optional"
NO ASIN,skip,Baby bottles,MAM,Plastic bottles,,,,"not recommended, link optional"
NO ASIN,skip,Baby bottles,Munchkin,360 Spoutless Training Cup,,,,"not recommended, link optional"
NO ASIN,skip,Baby food,Gerber,Baby food pouches and puffs,,,,"not recommended, link optional"
NO ASIN,skip,Baby food,Gerber,Stage 2 Pouches (various flavors),,,,"not recommended, link optional"
NO ASIN,skip,Baby food,Happy Baby,Organic Pouches,,,,"not recommended, link optional"
NO ASIN,skip,Baby formula,Kabrita,Goat Milk Infant Formula,,,,"not recommended, link optional"
NO ASIN,skip,Clothing,Gerber,Flame resistant polyester pajamas,,,,"not recommended, link optional"
NO ASIN,skip,Coffee,Cuisinart,PerfecTemp 1.7L electric kettle (CPK-17),,,,"not recommended, link optional"
NO ASIN,skip,Coffee,Cuisinart,Drip coffee makers,,,,"not recommended, link optional"
NO ASIN,skip,Coffee,Philips,Automatic espresso machines,,,,"not recommended, link optional"
NO ASIN,skip,Cookware,Berlinger Haus,Marble and granite coated cookware,,,,"not recommended, link optional"
NO ASIN,skip,Cookware,Bodum,Nonstick lines,,,,"not recommended, link optional"
NO ASIN,skip,Diaper cream,Burt's Bees Baby,Diaper ointment,,,,"not recommended, link optional"
NO ASIN,skip,Diaper cream,Desitin,Diaper Rash Cream,,,,"not recommended, link optional"
NO ASIN,skip,Diaper cream,The Honest Company,Sensitive diaper rash cream,,,,"not recommended, link optional"
NO ASIN,skip,Diapers,Pampers,Diapers,,,,"not recommended, link optional"
NO ASIN,skip,Electrolytes,Trace Minerals,PowerPak Electrolyte Stamina,,,,"not recommended, link optional"
NO ASIN,skip,Kitchen appliances,Berlinger Haus,"Turbo pressure cookers (BH-1080 6L, BH-1081 8L)",,,,"not recommended, link optional"
NO ASIN,skip,Kitchen appliances,Berlinger Haus,"Easy Open & Close pressure cooker (BH-1438, Granit Diamond line)",,,,"not recommended, link optional"
NO ASIN,skip,Kitchen appliances,Bodum,BARISTA and OTTONI electric milk frothers,,,,"not recommended, link optional"
NO ASIN,skip,Panty liners,The Honey Pot,The Honey Pot Organic Cotton Cover Liners,,,,"not recommended, link optional"
NO ASIN,skip,Period pads,Always,Always Ultra Thin Pads,,,,"not recommended, link optional"
NO ASIN,skip,Period pads,Cora,Cora Organic Cotton Topsheet Pads and Liners,,,,"not recommended, link optional"
NO ASIN,skip,Period pads,Rael,Rael Organic Cotton Cover Pads and Liners,,,,"not recommended, link optional"
NO ASIN,skip,Period underwear,Thinx,Thinx Period Underwear,,,,"not recommended, link optional"
NO ASIN,skip,Prenatal vitamins,Garden of Life,Organics Prenatal Once Daily,,,,"not recommended, link optional"
NO ASIN,skip,Prenatal vitamins,New Chapter,One Daily 35+ prenatal,,,,"not recommended, link optional"
NO ASIN,skip,Prenatal vitamins,Pure Encapsulations,Prenatal Nutrients,,,,"not recommended, link optional"
NO ASIN,skip,Shampoo,Dove,Dry shampoo aerosols,,,,"not recommended, link optional"
NO ASIN,skip,Sunscreen,Aveeno,Sunscreens,,,,"not recommended, link optional"
NO ASIN,skip,Sunscreen,Badger,Baby Mineral Sunscreen SPF 40,,,,"not recommended, link optional"
NO ASIN,skip,Sunscreen,Revision Skincare,Intellishade Original and Matte SPF 45,,,,"not recommended, link optional"
NO ASIN,skip,Supplements,Momentous,v1 plant protein,,,,"not recommended, link optional"
NO ASIN,skip,Supplements,Trace Minerals,Mega-Mag,,,,"not recommended, link optional"
NO ASIN,skip,Tampons,Organyc,Organyc Organic Cotton Tampons,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Burt's Bees,Whitening toothpaste,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Colgate,Total / Whitening,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Crest,Kids Fluoride Toothpaste,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Crest,Toothpaste,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Davids,Hydroxi hydroxyapatite,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Redmond,Earthpaste,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,RiseWell,Mineral toothpaste,,,,"not recommended, link optional"
NO ASIN,skip,Toothpaste,Tom's of Maine,Kids toothpaste,,,,"not recommended, link optional"
NO ASIN,skip,Vacuums,Bissell,"Cordless vacuums (Multi Surface wet dry, Multi Reach)",,,,"not recommended, link optional"
NO ASIN,skip,Water filters,Brita,"Pitchers, dispensers, and cups on the standard filter",,,,"not recommended, link optional"
